Group,Class,Name,Year,Month,meanUCPsg,nUCP
BK1,AF,Blueberry,2014,3,18.48,3
BK1,AM,Denim,2013,12,94.21,1
BK1,AM,Denim,2014,3,22.57,4
BK1,AF,Indigo,2013,12,2.13,1
BK1,AF,Iris,2013,12,28.39,1
BK1,AF,Iris,2014,3,14.11,2
BK1,SM,Navy,2013,12,47.34,1
BK1,SM,Navy,2014,3,25.89,1
BK1,SM,Owen,2013,12,32.88,1
BK1,SM,Owen,2014,3,18.60,2
BK1,AF,Periwinkle,2013,12,49.16,3
BK1,AF,Periwinkle,2014,3,35.42,1
BK1,AF,Royal,2014,1,30.29,1
BK1,AF,Royal,2014,3,29.08,3
BK1,AF,Sapphire,2014,3,19.65,7
BK1,AF,Sharon,2013,12,31.66,1
BK1,AF,Sharon,2014,3,19.89,3
BK1,SF,Sky,2013,12,39.13,1
BK1,AF,Teal,2013,12,38.89,1
BK1,AF,Teal,2014,3,22.53,3
BK1,AF,Tiffany,2013,12,38.94,5
BK1,AF,Tiffany,2014,3,26.95,1
BK1,AF,Turquoise,2013,12,52.89,1
BK1,AF,Turquoise,2014,1,31.91,1
BK1,AF,Turquoise,2014,3,20.28,2
BK1,AF,Unknown,2013,12,41.31,2
BK2,AM,Cayenne,2014,1,2.41,1
BK3,AF,Acura,2014,3,136.45,1
BK3,AF,Acura,2014,4,15.80,1
BK3,AF,Corolla,2014,1,34.92,2
BK3,AF,Corolla,2014,4,13.94,4
BK3,AM,Hummer,2014,3,28.66,2
BK3,AM,Hummer,2014,4,9.94,1
BK3,JV,Juvenile,2014,4,19.68,2
BK3,AF,Maxi,2014,3,32.44,2
BK3,AF,Maxi,2014,4,13.27,3
BK3,AF,Mercedes,2014,1,31.98,1
BK3,AF,Mercedes,2014,3,21.15,2
BK3,AF,Mercedez,2014,4,22.88,1
BK3,JV,Mustang,2014,1,35.93,1
BK3,AF,Range,2014,3,21.65,2
BK3,AF,Range,2014,4,13.15,2
BK3,AF,Royce,2014,4,13.11,3
BK3,AF,Sienna,2014,3,34.80,1
BK3,AF,Sienna,2014,4,13.72,4
BK3,AF,Taurus,2014,4,22.63,3
BN1,SF,Adieri,2014,2,18.49,4
BN1,AF,Aphrodite,2013,12,51.86,1
BN1,AM,Apuuli,2014,2,93.22,2
BN1,AF,Gaia,2014,2,21.12,2
BN1,AF,Helen,2014,2,17.05,5
BN1,SM,Hera,2014,2,21.15,6
BN1,SM,Poseidon ,2013,11,25.45,1
BN1,AF,Rosebud,2014,2,10.95,1
BN1,AF,Unknown,2013,11,16.06,2
BN2,JV,Bushwick,2014,3,12.99,5
BN2,SM,Canarsie,2013,11,14.84,2
BN2,SM,Canarsie,2014,3,28.35,3
BN2,AM,Greenwich,2013,11,28.95,1
BN2,AM,Greenwich,2014,2,21.65,1
BN2,AM,Lexington,2014,3,31.78,3
BN2,JV,Rockefeller,2014,3,28.44,1
BN2,AF,Sunset,2013,11,29.46,1
BN2,AF,Sunset,2014,2,25.18,1
BN2,AF,Sunset,2014,3,36.42,4
BN2,AF,Tribeca,2013,11,17.98,3
R1,SA,Antelope,2014,3,18.39,1
R1,AF,Buffalo,2014,3,25.32,1
R1,AF,Buffalo,2014,4,24.29,2
R1,AF,Duiker,2014,3,25.16,1
R1,AM,Elephant,2014,4,22.87,1
R1,JV,Fox,2014,3,11.42,2
R1,AF,Giraffe,2014,3,14.50,3
R1,AF,Hippo,2014,4,28.06,1
R1,AF,Horse,2014,3,13.76,2
R1,AF,Leopard,2014,3,21.01,2
R1,AF,Rhino,2014,3,26.81,1
R1,AF,Tiger,2014,3,20.78,1
R1,AF,Tiger,2014,4,14.24,1
R1,SA,Wolf,2014,3,17.17,1
R1,SA,Wolf,2014,4,12.78,1
R1,AF,Zebra,2014,4,29.18,1
R6,SA,Ategeka,2013,12,25.02,1
R6,AF,Bacwenkojo,2013,9,8.56,1
R6,AF,Bacwenkojo,2013,10,8.76,1
R6,AF,Bacwenkojo,2013,12,31.96,1
R6,AF,Bacwenkojo,2014,1,12.16,1
R6,AF,Bacwenkojo,2014,2,21.93,1
R6,AF,Basemera,2013,10,12.36,2
R6,AF,Basemera,2013,12,18.51,1
R6,AF,Basemera,2014,1,10.77,2
R6,AF,Basemera,2014,2,19.90,1
R6,SM,Chance,2013,12,13.19,1
R6,SA,Chance,2014,1,20.48,1
R6,JV,Kaana,2013,12,12.49,2
R6,AF,Kabaganda,2014,1,13.34,1
R6,AF,Kabarwani,2013,12,15.80,1
R6,AF,Kabarwani,2014,1,16.48,1
R6,JV,Kabeba,2013,12,8.00,1
R6,AF,Kabulemu,2013,12,14.95,2
R6,AF,Kabulemu,2014,1,18.03,3
R6,SA,Kacupa,2013,12,16.43,1
R6,SA,Kacupa,2014,1,53.82,1
R6,AF,Kaisiki,2014,2,22.24,1
R6,AF,Kakaikuru,2013,10,17.68,3
R6,AF,Kakaikuru,2013,12,27.00,1
R6,AF,Kakaikuru,2014,1,6.76,1
R6,AF,Kakaikuru,2014,2,18.34,1
R6,AF,Kalema,2013,12,27.19,2
R6,AF,Kamakune,2013,10,6.83,2
R6,AF,Kamakune,2013,12,95.31,1
R6,AF,Kamakune,2014,1,14.50,1
R6,AF,Kamakune,2014,2,11.18,1
R6,AF,Karungi,2013,10,22.80,1
R6,AF,Karungi,2014,1,15.79,2
R6,AF,Karungi,2014,2,7.16,1
R6,AM,Kasaija,2013,9,10.65,2
R6,AM,Kasaija,2013,10,14.37,1
R6,AM,Kasaija,2013,12,30.29,2
R6,AF,Kasamaki,2013,10,16.78,1
R6,AF,Kasamaki,2013,12,26.67,1
R6,AF,Kasamaki,2014,1,16.19,1
R6,AF,Kasemire,2013,12,21.65,2
R6,AF,Kasemire,2014,1,32.21,1
R6,AF,Kasemire,2014,2,21.06,1
R6,SA,Kasigazi,2014,1,21.06,1
R6,AF,Kebirungi,2013,10,93.93,1
R6,AF,Kebirungi,2014,1,6.94,1
R6,AF,Kengonzi,2014,1,17.20,1
R6,AF,Kentaro,2013,10,9.20,1
R6,AF,Kentaro,2013,11,17.11,1
R6,AF,Kentaro,2013,12,15.85,1
R6,AF,Kentaro,2014,2,22.30,1
R6,SA,Koojo,2013,12,24.43,4
R6,SA,Koojo,2014,1,17.21,1
R6,AF,Kyoya,2013,10,13.76,1
R6,AF,Kyoya,2013,11,24.53,1
R6,AF,Kyoya,2013,12,63.14,2
R6,AF,Kyoya,2014,1,28.99,1
R6,AF,Kyoya,2014,2,18.65,1
R6,AF,Macumu,2013,10,11.25,1
R6,AF,Macumu,2013,12,80.84,1
R6,AF,Macumu,2014,1,11.62,2
R6,SA,Mugisa,2013,12,19.51,1
R6,SA,Mugisa,2014,1,22.76,1
R6,SA,Murungi,2013,10,20.66,2
R6,SA,Murungi,2014,1,23.90,1
R6,SA,Mutebi,2014,1,12.99,2
R6,AF,Nkojo,2013,12,27.70,1
R6,AF,Nkojo,2014,1,13.50,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
